FeatureName,RO URI
original_firstorder_10Percentile,www.radiomics.org/RO/GPMT
original_firstorder_90Percentile,www.radiomics.org/RO/OZ0C
original_firstorder_Energy,www.radiomics.org/RO/8ZQL
original_firstorder_Entropy,www.radiomics.org/RO/TLU2
original_firstorder_InterquartileRange,www.radiomics.org/RO/WR0O
original_firstorder_Kurtosis,www.radiomics.org/RO/C3I7
original_firstorder_Maximum,www.radiomics.org/RO/3NCY
original_firstorder_Mean,www.radiomics.org/RO/X6K6
original_firstorder_MeanAbsoluteDeviation,www.radiomics.org/RO/D2ZX
original_firstorder_Median,www.radiomics.org/RO/WIFQ
original_firstorder_Minimum,www.radiomics.org/RO/1PR8
original_firstorder_Range,www.radiomics.org/RO/5Z3W
original_firstorder_RobustMeanAbsoluteDeviation,www.radiomics.org/RO/WRZB
original_firstorder_RootMeanSquared,www.radiomics.org/RO/5ZWQ
original_firstorder_Skewness,www.radiomics.org/RO/88K1
original_firstorder_TotalEnergy,www.radiomics.org/RO/2490
original_firstorder_Uniformity,www.radiomics.org/RO/BJ5W
original_firstorder_Variance,www.radiomics.org/RO/CH89
original_glcm_Autocorrelation,www.radiomics.org/RO/QWB0
original_glcm_ClusterProminence,www.radiomics.org/RO/AE86
original_glcm_ClusterShade,www.radiomics.org/RO/7NFM
original_glcm_ClusterTendency,www.radiomics.org/RO/DG8W
original_glcm_Contrast,www.radiomics.org/RO/ACUI
original_glcm_Correlation,www.radiomics.org/RO/NI2N
original_glcm_DifferenceAverage,www.radiomics.org/RO/TF7R
original_glcm_DifferenceEntropy,www.radiomics.org/RO/NTRS
original_glcm_DifferenceVariance,www.radiomics.org/RO/D3YU
original_glcm_Id,www.radiomics.org/RO/IB1Z
original_glcm_Idm,www.radiomics.org/RO/WF0Z
original_glcm_Idmn,www.radiomics.org/RO/1QCO
original_glcm_Idn,www.radiomics.org/RO/NDRX
original_glcm_Imc1,www.radiomics.org/RO/R8DG
original_glcm_Imc2,www.radiomics.org/RO/JN9H
original_glcm_InverseVariance,www.radiomics.org/RO/E8JP
original_glcm_JointAverage,www.radiomics.org/RO/60VM
original_glcm_JointEnergy,www.radiomics.org/RO/8ZQL
original_glcm_JointEntropy,www.radiomics.org/RO/TU9B
original_glcm_MaximumProbability,www.radiomics.org/RO/GYBY
original_glcm_SumAverage,www.radiomics.org/RO/ZGXS
original_glcm_SumEntropy,www.radiomics.org/RO/P6QZ
original_glcm_SumSquares,www.radiomics.org/RO/OEEB
original_gldm_DependenceEntropy,www.radiomics.org/RO/GBDU
original_gldm_DependenceNonUniformity,www.radiomics.org/RO/V294
original_gldm_DependenceNonUniformityNormalized,www.radiomics.org/RO/IATH
original_gldm_DependenceVariance,www.radiomics.org/RO/7WT1
original_gldm_GrayLevelNonUniformity,www.radiomics.org/RO/VFT7
original_gldm_GrayLevelVariance,www.radiomics.org/RO/QK93
original_gldm_HighGrayLevelEmphasis,www.radiomics.org/RO/K26C
original_gldm_LargeDependenceEmphasis,www.radiomics.org/RO/MB4I
original_gldm_LargeDependenceHighGrayLevelEmphasis,www.radiomics.org/RO/KLTH
original_gldm_LargeDependenceLowGrayLevelEmphasis,www.radiomics.org/RO/A7WM
original_gldm_LowGrayLevelEmphasis,www.radiomics.org/RO/S1RA
original_gldm_SmallDependenceEmphasis,www.radiomics.org/RO/0GBI
original_gldm_SmallDependenceHighGrayLevelEmphasis,www.radiomics.org/RO/DKNJ
original_gldm_SmallDependenceLowGrayLevelEmphasis,www.radiomics.org/RO/RUVG
original_glrlm_GrayLevelNonUniformity,www.radiomics.org/RO/R5YN
original_glrlm_GrayLevelNonUniformityNormalized,www.radiomics.org/RO/OVBL
original_glrlm_GrayLevelVariance,www.radiomics.org/RO/8CE5
original_glrlm_HighGrayLevelRunEmphasis,www.radiomics.org/RO/G3QZ
original_glrlm_LongRunEmphasis,www.radiomics.org/RO/W4KF
original_glrlm_LongRunHighGrayLevelEmphasis,www.radiomics.org/RO/3KUM
original_glrlm_LongRunLowGrayLevelEmphasis,www.radiomics.org/RO/IVPO
original_glrlm_LowGrayLevelRunEmphasis,www.radiomics.org/RO/V3SW
original_glrlm_RunEntropy,www.radiomics.org/RO/HJ9O
original_glrlm_RunLengthNonUniformity,www.radiomics.org/RO/W92Y
original_glrlm_RunLengthNonUniformityNormalized,www.radiomics.org/RO/IC23
original_glrlm_RunPercentage,www.radiomics.org/RO/9ZK5
original_glrlm_RunVariance,www.radiomics.org/RO/SXLW
original_glrlm_ShortRunEmphasis,www.radiomics.org/RO/22OV
original_glrlm_ShortRunHighGrayLevelEmphasis,www.radiomics.org/RO/GD3A
original_glrlm_ShortRunLowGrayLevelEmphasis,www.radiomics.org/RO/HTZT
original_glszm_GrayLevelNonUniformity,www.radiomics.org/RO/JNSA
original_glszm_GrayLevelNonUniformityNormalized,www.radiomics.org/RO/Y1RO
original_glszm_GrayLevelVariance,www.radiomics.org/RO/BYLV
original_glszm_HighGrayLevelZoneEmphasis,www.radiomics.org/RO/5GN9
original_glszm_LargeAreaEmphasis,www.radiomics.org/RO/48P8
